Energy Usage Information,,
,,
,,
Meter Reading Information,,
Type of readings: Electricity,,
,,
Summary of Electric Power Usage Information*,,
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. ",,
,,
Detailed Usage,,
Start date: 2019-09-30 23:00:00  for 123 days,,
,,
Data for period starting: 2019-10-01 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-11 10:00:00 to 2019-10-11 11:00:00,2.067,
2019-10-11 11:00:00 to 2019-10-11 12:00:00,1.667,
2019-10-11 12:00:00 to 2019-10-11 13:00:00,1.42,
2019-10-11 13:00:00 to 2019-10-11 14:00:00,1.887,
2019-10-11 14:00:00 to 2019-10-11 15:00:00,1.617,
2019-10-11 15:00:00 to 2019-10-11 16:00:00,1.413,
2019-10-11 16:00:00 to 2019-10-11 17:00:00,1.393,
2019-10-11 17:00:00 to 2019-10-11 18:00:00,2.27,
2019-10-11 18:00:00 to 2019-10-11 19:00:00,2.627,
2019-10-11 19:00:00 to 2019-10-11 20:00:00,2.74,
2019-10-11 20:00:00 to 2019-10-11 21:00:00,3.34,
2019-10-11 21:00:00 to 2019-10-11 22:00:00,5,
2019-10-11 22:00:00 to 2019-10-11 23:00:00,3.953,
2019-10-11 23:00:00 to 2019-10-12 00:00:00,3.627,
,,
Data for period starting: 2019-10-12 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-12 00:00:00 to 2019-10-12 01:00:00,2.803,
2019-10-12 01:00:00 to 2019-10-12 02:00:00,2.22,
2019-10-12 02:00:00 to 2019-10-12 03:00:00,1.27,
2019-10-12 03:00:00 to 2019-10-12 04:00:00,1.277,
2019-10-12 04:00:00 to 2019-10-12 05:00:00,1.257,
2019-10-12 05:00:00 to 2019-10-12 06:00:00,1.253,
2019-10-12 06:00:00 to 2019-10-12 07:00:00,1.273,
2019-10-12 07:00:00 to 2019-10-12 08:00:00,2.847,
2019-10-12 08:00:00 to 2019-10-12 09:00:00,1.537,
2019-10-12 09:00:00 to 2019-10-12 10:00:00,1.233,
2019-10-12 10:00:00 to 2019-10-12 11:00:00,2.267,
2019-10-12 11:00:00 to 2019-10-12 12:00:00,2.04,
2019-10-12 12:00:00 to 2019-10-12 13:00:00,2.09,
2019-10-12 13:00:00 to 2019-10-12 14:00:00,2.803,
2019-10-12 14:00:00 to 2019-10-12 15:00:00,3.46,
2019-10-12 15:00:00 to 2019-10-12 16:00:00,2.387,
2019-10-12 16:00:00 to 2019-10-12 17:00:00,2.23,
2019-10-12 17:00:00 to 2019-10-12 18:00:00,2.347,
2019-10-12 18:00:00 to 2019-10-12 19:00:00,3.553,
2019-10-12 19:00:00 to 2019-10-12 20:00:00,3.513,
2019-10-12 20:00:00 to 2019-10-12 21:00:00,3.02,
2019-10-12 21:00:00 to 2019-10-12 22:00:00,2.783,
2019-10-12 22:00:00 to 2019-10-12 23:00:00,3.097,
2019-10-12 23:00:00 to 2019-10-13 00:00:00,3.24,
,,
Data for period starting: 2019-10-13 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-13 00:00:00 to 2019-10-13 01:00:00,2.813,
2019-10-13 01:00:00 to 2019-10-13 02:00:00,2.013,
2019-10-13 02:00:00 to 2019-10-13 03:00:00,1.34,
2019-10-13 03:00:00 to 2019-10-13 04:00:00,1.3,
2019-10-13 04:00:00 to 2019-10-13 05:00:00,1.303,
2019-10-13 05:00:00 to 2019-10-13 06:00:00,1.51,
2019-10-13 06:00:00 to 2019-10-13 07:00:00,1.67,
2019-10-13 07:00:00 to 2019-10-13 08:00:00,2.35,
2019-10-13 08:00:00 to 2019-10-13 09:00:00,2.037,
2019-10-13 09:00:00 to 2019-10-13 10:00:00,1.483,
2019-10-13 10:00:00 to 2019-10-13 11:00:00,1.273,
2019-10-13 11:00:00 to 2019-10-13 12:00:00,1.427,
2019-10-13 12:00:00 to 2019-10-13 13:00:00,1.8,
2019-10-13 13:00:00 to 2019-10-13 14:00:00,2.44,
2019-10-13 14:00:00 to 2019-10-13 15:00:00,1.96,
2019-10-13 15:00:00 to 2019-10-13 16:00:00,1.993,
2019-10-13 16:00:00 to 2019-10-13 17:00:00,2.7,
2019-10-13 17:00:00 to 2019-10-13 18:00:00,3.47,
2019-10-13 18:00:00 to 2019-10-13 19:00:00,3.1,
2019-10-13 19:00:00 to 2019-10-13 20:00:00,2.737,
2019-10-13 20:00:00 to 2019-10-13 21:00:00,3.573,
2019-10-13 21:00:00 to 2019-10-13 22:00:00,3.413,
2019-10-13 22:00:00 to 2019-10-13 23:00:00,3.643,
2019-10-13 23:00:00 to 2019-10-14 00:00:00,2.677,
,,
Data for period starting: 2019-10-14 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-14 00:00:00 to 2019-10-14 01:00:00,2.12,
2019-10-14 01:00:00 to 2019-10-14 02:00:00,1.563,
2019-10-14 02:00:00 to 2019-10-14 03:00:00,1.883,
2019-10-14 03:00:00 to 2019-10-14 04:00:00,1.377,
2019-10-14 04:00:00 to 2019-10-14 05:00:00,1.607,
2019-10-14 05:00:00 to 2019-10-14 06:00:00,2.173,
2019-10-14 06:00:00 to 2019-10-14 07:00:00,1.66,
2019-10-14 07:00:00 to 2019-10-14 08:00:00,1.373,
2019-10-14 08:00:00 to 2019-10-14 09:00:00,1.393,
2019-10-14 09:00:00 to 2019-10-14 10:00:00,1.463,
2019-10-14 10:00:00 to 2019-10-14 11:00:00,1.383,
2019-10-14 11:00:00 to 2019-10-14 12:00:00,1.337,
2019-10-14 12:00:00 to 2019-10-14 13:00:00,2.1,
2019-10-14 13:00:00 to 2019-10-14 14:00:00,3.147,
2019-10-14 14:00:00 to 2019-10-14 15:00:00,2.163,
2019-10-14 15:00:00 to 2019-10-14 16:00:00,1.373,
2019-10-14 16:00:00 to 2019-10-14 17:00:00,1.523,
2019-10-14 17:00:00 to 2019-10-14 18:00:00,2.17,
2019-10-14 18:00:00 to 2019-10-14 19:00:00,2.227,
2019-10-14 19:00:00 to 2019-10-14 20:00:00,1.713,
2019-10-14 20:00:00 to 2019-10-14 21:00:00,2.437,
2019-10-14 21:00:00 to 2019-10-14 22:00:00,3.84,
2019-10-14 22:00:00 to 2019-10-14 23:00:00,2.663,
2019-10-14 23:00:00 to 2019-10-15 00:00:00,1.627,
,,
Data for period starting: 2019-10-15 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-15 00:00:00 to 2019-10-15 01:00:00,1.31,
2019-10-15 01:00:00 to 2019-10-15 02:00:00,1.21,
2019-10-15 02:00:00 to 2019-10-15 03:00:00,1.97,
2019-10-15 03:00:00 to 2019-10-15 04:00:00,1.17,
2019-10-15 04:00:00 to 2019-10-15 05:00:00,1.24,
2019-10-15 05:00:00 to 2019-10-15 06:00:00,1.18,
2019-10-15 06:00:00 to 2019-10-15 07:00:00,1.18,
2019-10-15 07:00:00 to 2019-10-15 08:00:00,1.88,
2019-10-15 08:00:00 to 2019-10-15 09:00:00,1.45,
2019-10-15 09:00:00 to 2019-10-15 10:00:00,1.54,
2019-10-15 10:00:00 to 2019-10-15 11:00:00,1.52,
2019-10-15 11:00:00 to 2019-10-15 12:00:00,2.22,
2019-10-15 12:00:00 to 2019-10-15 13:00:00,1.47,
2019-10-15 13:00:00 to 2019-10-15 14:00:00,1.24,
2019-10-15 14:00:00 to 2019-10-15 15:00:00,1.04,
2019-10-15 15:00:00 to 2019-10-15 16:00:00,1.21,
2019-10-15 16:00:00 to 2019-10-15 17:00:00,1.22,
2019-10-15 17:00:00 to 2019-10-15 18:00:00,1.3,
2019-10-15 18:00:00 to 2019-10-15 19:00:00,4.09,
2019-10-15 19:00:00 to 2019-10-15 20:00:00,3.29,
2019-10-15 20:00:00 to 2019-10-15 21:00:00,2.82,
2019-10-15 21:00:00 to 2019-10-15 22:00:00,2.5,
2019-10-15 22:00:00 to 2019-10-15 23:00:00,2.77,
2019-10-15 23:00:00 to 2019-10-16 00:00:00,1.44,
,,
